field_id,field_name,level,definition,preferred_statistic,unit_or_format,required_for,notes
A001,country,context,Country or institutional jurisdiction,category,ISO country name,all,"United States; China; Australia"
A002,reference_year,context,Income and expenditure reference year,year,YYYY,all,"Retain survey and price reference years separately when different"
A003,archetype,household,Y single young; D dual-income no children; C household with dependent children,category,Y/D/C,all,"C must distinguish couple-parent and lone-parent households"
A004,adult_count,household,Number of adult household members,count,persons,all,"Use survey-specific adult definition and record it"
A005,dependent_child_count,household,Number of co-resident dependent children,count,persons,C,"Record age bands where possible"
A006,age_band,individual_or_household,Age of individual or household reference person,category,years,all,"Preferred Y=25-34; D/C initially 25-44"
A007,relationship_type,household,Single; married; de facto/cohabiting; lone parent; other,category,text,all,"Do not infer complete financial pooling from legal status"
A008,earner_count,household,Number of household members with labour income,count,persons,all,"D requires two earners"
A009,employment_status,individual,Employed; unemployed; inactive; mixed household,category,text,all,"Record full-time and part-time where possible"
A010,industry_correlation,household,Similarity of earners' industry or employer exposure,indicator,low/medium/high,D/C,"Proxy for correlated job-loss risk"
A011,housing_state,household,Co-resident; renter; owner with mortgage; owner without mortgage,category,text,all,"Primary stratification variable"
A012,market_income,household,Labour plus business plus property income before public transfers,median_and_quantiles,local_currency_per_year,all,"Use equivalised values only for living-standard comparison"
A013,labour_income,individual_and_household,Wages and self-employment labour income,median_and_quantiles,local_currency_per_year,all,"Report individual and pooled household amounts"
A014,cash_transfers,household,Government cash transfers and regular private transfers,median_and_participation,local_currency_per_year,all,"Separate public and family transfers"
A015,family_support_cash,household,Cash support from non-household family members,median_and_participation,local_currency_per_year,Y/C,"Include education and housing payments"
A016,family_support_in_kind,household,Co-residence housing services; childcare; food; transport or other in-kind help,participation_and_imputed_value,local_currency_per_year,Y/C,"Imputation method must be documented"
A017,cash_disposable_income,household,Market income plus cash transfers minus direct taxes and social contributions,median_and_quantiles,local_currency_per_year,all,"Primary cash-resource measure"
A018,adjusted_disposable_income,household,Cash disposable income plus social transfers in kind,median_and_quantiles,local_currency_per_year,all,"Used for institutional comparison"
A019,housing_cash_cost,household,Rent or mortgage interest plus taxes insurance maintenance and utilities,median_and_burden_rate,local_currency_per_year,all,"Mortgage principal reported separately"
A020,mortgage_principal,household,Principal repayment that increases housing equity,median,local_currency_per_year,mortgage,"Capital formation rather than pure consumption"
A021,transport_cost,household,Recurring transport and commuting expenditure,median_and_burden_rate,local_currency_per_year,all,"Include vehicle finance separately if possible"
A022,childcare_cost,household,Formal childcare and related recurring care expenditure,median_and_participation,local_currency_per_year,C,"Also record informal care"
A023,education_cost,household,Education expenditure for adults and children,median_and_participation,local_currency_per_year,C/Y,"Report official-consumption and human-capital reclassification"
A024,health_cost,household,Premiums contributions and out-of-pocket healthcare costs,median_and_burden_rate,local_currency_per_year,all,"Avoid double counting payroll contributions"
A025,debt_service,household,Required principal and interest payments on non-housing and housing debts,median_and_burden_rate,local_currency_per_year,all,"Housing principal also recorded in A020"
A026,recurring_consumption,household,Normal consumption excluding asset purchases and debt principal,median_and_quantiles,local_currency_per_year,all,"Definition must be harmonised by category"
A027,cash_surplus,household,Cash disposable income minus recurring consumption and required cash payments,median_and_quantiles,local_currency_per_year,all,"Can be negative"
A028,broad_capital_formation,household,Cash surplus plus compulsory pension accrual and housing principal less dissaving,median_and_quantiles,local_currency_per_year,all,"Separate current cash from locked saving"
A029,liquid_assets,household,Cash deposits and readily saleable financial assets,median_and_quantiles,local_currency,all,"Report zero-holding share"
A030,liquidity_months,household,Liquid assets divided by essential monthly expenditure,median_and_quantiles,months,all,"Primary short-run resilience measure"
A031,housing_equity,household,Home value minus secured housing debt,median_and_quantiles,local_currency,owners,"Report conditional and unconditional values"
A032,pension_wealth,household,Defined contribution balance or estimated pension rights,median_and_quantiles,local_currency,all,"Record access restrictions and valuation method"
A033,financial_net_worth,household,Financial assets minus non-mortgage financial liabilities,median_and_quantiles,local_currency,all,"Useful alongside total net worth"
A034,total_net_worth,household,All included assets minus liabilities,median_and_quantiles,local_currency,all,"Asset coverage must be identical before comparison"
A035,housing_burden,household,Housing cash cost divided by cash disposable income,median_and_distribution,percent,all,"Report thresholds but do not treat as universal welfare cut-offs"
A036,fixed_commitment_ratio,household,Housing transport debt childcare insurance divided by reliable income,median_and_distribution,percent,all,"Research construct; category list must be explicit"
A037,external_support_dependence,household,Share of cash and in-kind resources from outside household,median_and_distribution,percent,Y/C,"Distinguishes independent and family-supported budgets"
A038,member_autonomy,individual,Individual income liquid assets pension and account access within household,indicator,index_or_components,D/C,"Do not infer from household totals"
A039,income_interruption_capacity,household,Months essential spending can be maintained without new labour income,median_and_quantiles,months,all,"Include liquid assets and reliable transfers; report assumptions"
A040,data_quality,evidence,Sampling design weights missingness and uncertainty,metadata,text,all,"Record standard errors or replicate-weight method"
