step_id,country,stage,operation,required_inputs,output,validation
R05-01,all,unit definition,Define focal individual residential household and economic sharing unit separately,relationship roster resource pooling and housing payment variables,unit classification table,No logical conflict between one-person economic unit and parental co-residence
R05-02,United States,data assembly,Combine 2022 and 2023 CE packages for calendar 2023 and 2023 and 2024 packages for calendar 2024,FMLI MEMI ITBI MTBI and relevant detailed files,calendar-year interview records,Verify months in scope using QINTRVYR and QINTRVMO
R05-03,United States,sample filter,Select age 25-34 economic-unit size one earner count at least one no partner no dependent child,CE dictionary-resolved demographic variables,Y1 sample,Compare weighted population and means with BLS cross-tabulated table
R05-04,United States,housing strata,Classify renter owner with mortgage owner without mortgage,housing tenure and mortgage variables,Y1 tenure groups,Check group shares against published CE tables
R05-05,United States,income,Construct 2023 before-tax and after-tax income using official definitions,ITBI UCCs FMLI summaries and 2023 tax estimates,income measures,Reconcile aggregate means to published table within disclosure-related tolerance
R05-06,United States,expenditure,Construct recurring consumption housing transport health debt pension and mortgage principal,MTBI UCC source selection and detailed files,expenditure measures,Compare major-category means with published table
R05-07,United States,weights,Apply FINLWT21 quarter and months-in-scope adjustments,FMLI weights and interview month,weighted means medians and population,Reproduce known national or cross-tabulated benchmarks
R05-08,United States,uncertainty,Apply WTREP01-WTREP44 BRR for non-imputed measures,replicate weights,standard errors and confidence intervals,Match BLS methodology and flag high relative standard errors
R05-09,China,data access,Download July-2026 standardized CHFS 2021 files after approved application,hh ind master_hh master_ind and documentation,versioned raw-data manifest,Record download date checksums release notes and terms
R05-10,China,person-first sample,Identify all persons age 25-34 then link household roster,master_ind ind household identifiers,focal-person file,Avoid household-head-only selection
R05-11,China,unit classification,Classify independent unit partial parental sharing and pooled parental household,relationships housing payments transfers and household membership,Y1 Y2 Y3 groups,Review ambiguous pooling cases and report classification sensitivity
R05-12,China,financial measures,Link household income consumption assets debt and individual income,master_hh hh master_ind,personal and household budget measures,Use correct household and individual weights separately
R05-13,Australia,data access,Obtain HILDA General Release 24 after DSS approval,Dataverse files documentation and DOI,versioned raw-data manifest,Retain confidentiality acknowledgement and access conditions
R05-14,Australia,file matching,Link responding person household and enumerated files in Wave 24,xwaveid wave household ID and partner identifiers,focal-person household file,Use official program-library matching logic
R05-15,Australia,sample and units,Select age 25-34 employed and classify no partner no child parental co-residence and resource sharing,person relationship employment household and housing variables,Y1 Y2 Y3 groups,Do not invent a household reference person
R05-16,Australia,income and capital,Construct disposable income housing cost Super mortgage principal liquid assets and family support,HILDA derived variables tax-benefit model household wealth files,cash surplus and broad capital formation,Use cross-sectional weights and document top-coding or imputation
R05-17,all,reporting,Report sample count weighted population mean median quantiles zero share and uncertainty,three country estimates,comparable prototype tables,Every table states year unit scope weights imputation and asset classification
